date,district,dengue_index,respiratory_index,rainfall_index
2025-12-29,Ampara,24.450000000000003,44.0,64.2
2026-01-05,Ampara,30.299999999999997,41.2,63.2
2026-01-12,Ampara,29.85,38.05,71.4
2026-01-19,Ampara,27.3,45.75,71.5
2025-12-29,Anuradhapura,33.5,44.4,78.05000000000001
2026-01-05,Anuradhapura,33.8,45.75,79.6
2026-01-12,Anuradhapura,35.9,40.5,70.45
2026-01-19,Anuradhapura,34.5,40.349999999999994,64.4
2025-12-29,Badulla,18.200000000000003,41.6,64.25
2026-01-05,Badulla,23.3,45.3,49.45
2026-01-12,Badulla,27.95,49.9,49.9
2026-01-19,Badulla,29.2,44.55,55.95
2025-12-29,Batticaloa,22.35,49.75,62.75
2026-01-05,Batticaloa,31.25,44.05,67.15
2026-01-12,Batticaloa,27.6,42.85,79.05000000000001
2026-01-19,Batticaloa,27.1,44.9,81.75
2025-12-29,Colombo,31.0,48.7,49.4
2026-01-05,Colombo,39.4,52.1,31.799999999999997
2026-01-12,Colombo,31.549999999999997,42.5,57.900000000000006
2026-01-19,Colombo,20.75,44.65,61.35
2025-12-29,Galle,23.7,53.1,47.85
2026-01-05,Galle,21.35,47.35,51.099999999999994
2026-01-12,Galle,19.3,50.4,42.5
2026-01-19,Galle,26.45,43.1,46.9
2025-12-29,Gampaha,21.75,49.5,46.599999999999994
2026-01-05,Gampaha,32.05,50.7,38.1
2026-01-12,Gampaha,32.6,48.55,41.8
2026-01-19,Gampaha,26.25,46.25,35.75
2025-12-29,Hambantota,22.950000000000003,42.650000000000006,61.099999999999994
2026-01-05,Hambantota,23.55,44.35,69.65
2026-01-12,Hambantota,28.6,43.0,64.9
2026-01-19,Hambantota,30.45,47.25,66.15
2025-12-29,Jaffna,27.35,48.95,60.75
2026-01-05,Jaffna,32.8,38.95,61.55
2026-01-12,Jaffna,30.650000000000002,42.900000000000006,58.85
2026-01-19,Jaffna,23.35,43.3,75.6
2025-12-29,Kalutara,28.0,45.45,44.05
2026-01-05,Kalutara,31.3,47.6,46.25
2026-01-12,Kalutara,29.25,56.15,42.95
2026-01-19,Kalutara,27.0,44.25,63.5
2025-12-29,Kandy,23.8,44.35,56.55
2026-01-05,Kandy,21.85,46.900000000000006,51.15
2026-01-12,Kandy,21.15,41.05,57.349999999999994
2026-01-19,Kandy,22.2,49.85,43.95
2025-12-29,Kegalle,22.1,50.4,52.650000000000006
2026-01-05,Kegalle,26.799999999999997,42.8,55.95
2026-01-12,Kegalle,23.5,44.4,47.25
2026-01-19,Kegalle,28.599999999999998,45.3,54.0
2025-12-29,Kilinochchi,33.4,40.6,75.7
2026-01-05,Kilinochchi,34.75,38.55,62.849999999999994
2026-01-12,Kilinochchi,24.4,45.95,65.85
2026-01-19,Kilinochchi,25.2,35.5,74.25
2025-12-29,Kurunegala,14.65,41.25,61.7
2026-01-05,Kurunegala,25.4,44.25,53.7
2026-01-12,Kurunegala,29.35,46.2,55.75
2026-01-19,Kurunegala,16.9,40.25,52.3
2025-12-29,Matale,26.0,42.85,55.1
2026-01-05,Matale,21.35,49.4,57.55
2026-01-12,Matale,24.25,49.7,35.15
2026-01-19,Matale,28.0,51.05,43.55
2025-12-29,Matara,24.85,43.65,69.25
2026-01-05,Matara,22.7,45.25,39.3
2026-01-12,Matara,31.400000000000002,46.900000000000006,44.95
2026-01-19,Matara,12.05,38.35,46.9
2025-12-29,Monaragala,26.75,54.099999999999994,36.55
2026-01-05,Monaragala,13.8,41.25,53.45
2026-01-12,Monaragala,11.4,49.2,56.65
2026-01-19,Monaragala,22.75,43.0,50.15
2025-12-29,Mullaitivu,23.4,44.55,67.85
2026-01-05,Mullaitivu,33.7,45.25,78.7
2026-01-12,Mullaitivu,26.950000000000003,49.85,68.5
2026-01-19,Mullaitivu,38.150000000000006,36.6,67.80000000000001
2025-12-29,Nuwara Eliya,18.1,51.35,46.2
2026-01-05,Nuwara Eliya,25.5,61.3,52.1
2026-01-12,Nuwara Eliya,21.15,46.3,47.349999999999994
2026-01-19,Nuwara Eliya,15.149999999999999,44.4,54.3
2025-12-29,Polonnaruwa,30.2,40.400000000000006,69.2
2026-01-05,Polonnaruwa,26.5,45.099999999999994,78.35
2026-01-12,Polonnaruwa,32.9,45.8,71.6
2026-01-19,Polonnaruwa,35.0,44.650000000000006,70.05
2025-12-29,Puttalam,25.55,50.2,76.2
2026-01-05,Puttalam,36.4,44.95,67.05000000000001
2026-01-12,Puttalam,31.849999999999998,45.85,61.85
2026-01-19,Puttalam,29.2,39.65,66.8
2025-12-29,Ratnapura,25.0,45.65,52.3
2026-01-05,Ratnapura,25.25,47.35,42.650000000000006
2026-01-12,Ratnapura,28.5,51.9,45.95
2026-01-19,Ratnapura,18.3,45.5,50.0
2025-12-29,Trincomalee,32.2,47.75,67.35
2026-01-05,Trincomalee,31.5,42.150000000000006,70.3
2026-01-12,Trincomalee,26.450000000000003,42.900000000000006,65.4
2026-01-19,Trincomalee,30.700000000000003,39.9,64.25
2025-12-29,Vavuniya,28.200000000000003,43.35,67.5
2026-01-05,Vavuniya,36.3,44.35,74.05000000000001
2026-01-12,Vavuniya,19.4,44.7,71.4
2026-01-19,Vavuniya,25.3,45.6,75.65
