retailer_id,retailer_name,retailer_type,district,tier,years_active
6977,Osanda Pharmacy,standalone,Ampara,C,17
8471,Medicare Pharmacy,standalone,Ampara,C,14
8582,Aboo Pharmacy,standalone,Ampara,C,12
8918,Lanka Pharmacy,standalone,Ampara,C,11
9607,Mahaoya Pharmacy,standalone,Ampara,C,9
9683,Well Care Pharmacy,standalone,Ampara,C,9
4033,Dilani Pharmacy,standalone,Anuradhapura,B,25
5887,Suwa Medura Pharmacy,standalone,Anuradhapura,C,21
6168,Rajya Osusala Anuradhapura,chain_outlet,Anuradhapura,A,20
6306,Dulan Pharmacy,standalone,Anuradhapura,C,19
6637,Medi Zone Pharmacy,standalone,Anuradhapura,C,18
7627,M. K Pharmacy,standalone,Anuradhapura,C,16
8060,Shehan Pharmacy and Grocery,standalone,Anuradhapura,C,15
12562,Queens Pharmacy,standalone,Anuradhapura,C,2
3524,Sri Saai Medicals Pharmacy,standalone,Badulla,B,26
3775,Thilakna Pharmacy,standalone,Badulla,B,25
4692,Suwasetha Pharmacy,standalone,Badulla,B,24
6592,Mahajana Pharmacy,standalone,Badulla,C,18
7547,The Badulla Apothecaries Pharmacy,standalone,Badulla,C,15
8419,New Manoja Pharmacy,standalone,Badulla,C,13
8945,Gayani Osusala,standalone,Badulla,C,13
10970,Luckieland Pharmacy,standalone,Badulla,C,6
12609,Witny Pharmacy,standalone,Badulla,C,3
1594,Eastern Medical Pharmacy,standalone,Batticaloa,B,30
3884,Surya Pharmacy,standalone,Batticaloa,B,24
10596,Parath Pharmacy and Groceries,standalone,Batticaloa,C,7
11475,Shakthi Medical Pharmacy,standalone,Batticaloa,C,5
1493,S. V Pharmacy,standalone,Colombo,A,31
1647,Victory Pharmacy,standalone,Colombo,A,30
1730,Elite Pharmacy,standalone,Colombo,A,30
1871,Central Pharmacy Koswatta,standalone,Colombo,A,31
2149,Sri Csres Pharma PVT Ltd,standalone,Colombo,A,29
2318,New Lanka Pharmacy,standalone,Colombo,A,29
2444,W & W Medicals Pharmacy,standalone,Colombo,A,30
2514,Sethruwa Pharmacy,standalone,Colombo,A,29
2542,Maura Phama,standalone,Colombo,A,30
2618,Mega Drugs Pharmacy,standalone,Colombo,A,28
2656,S K S Pharmacy,standalone,Colombo,A,28
2692,Okmed Pharmacy,standalone,Colombo,A,27
2755,Lakmini Pharmacy,standalone,Colombo,A,28
2812,Methsuwa Pharmacy,standalone,Colombo,A,29
2850,Asiri Pharmacy,chain_outlet,Colombo,A,29
2864,Green I Pharmacy,standalone,Colombo,A,27
2895,Sasindu Pharmacy,standalone,Colombo,A,28
2945,Laugfs Supermarkets Pharmacy,chain_outlet,Colombo,A,26
3059,Randunu Pharmacy & Grocery,standalone,Colombo,A,28
3179,Superior Health Pharmacy,standalone,Colombo,A,27
3186,Medo Pharmacy and Grocery,standalone,Colombo,A,27
3279,Baseline Pharmacy,standalone,Colombo,A,27
3389,Succeed Pharmacy and Grocery,standalone,Colombo,A,26
3491,New City Medicals Pharmacy,standalone,Colombo,A,27
3848,United Pharmacy,standalone,Colombo,A,24
3883,S N Pharmacy,standalone,Colombo,A,24
3945,Mangal Medics,standalone,Colombo,A,26
3996,ESSCO Pharmacy,standalone,Colombo,A,26
4010,Richard Pieris Distributors (PVT)Ltd,standalone,Colombo,A,24
4174,Cargills Food City,chain_outlet,Colombo,A,23
4252,Cargills Food City- Thalawathugoda,chain_outlet,Colombo,A,25
4323,Sisira Pharmacy,standalone,Colombo,A,25
4328,Richard Pieres Distributors Pharmacy,standalone,Colombo,A,23
4543,Family Guide Pharmacy,standalone,Colombo,A,22
4907,Southern Pharmacy and Grocery,standalone,Colombo,A,23
4919,Samurdhi Pharmacy,standalone,Colombo,A,21
4932,Healthfirst pharmaceuticals,standalone,Colombo,A,22
5041,Sunethra Pharmacy,standalone,Colombo,A,22
5084,Orient Pharmacy,standalone,Colombo,A,21
5105,Asiri Premier Center,standalone,Colombo,A,22
5117,Delmege Forsyth& Co.Ltd,standalone,Colombo,A,22
5121,Health Link Pharmacy,standalone,Colombo,A,23
5169,Medicare Pharmacy,standalone,Colombo,A,21
5276,Winsetha Hospitals,hospital_attached,Colombo,A,20
5298,Rohan Pharmacy and Grocery,standalone,Colombo,A,22
5311,Cargills- Moratuwa,chain_outlet,Colombo,A,21
