sku_id,generic_name,brand,dosage_form,pack_size,pack_type,country,reg_date,schedule,validation,therapeutic_category,group,group_description,price_band,is_critical,shelf_life_months,dosage_group,supplier_lead_time_days
M009284,AMOXICILLIN AND POTASSIUM CLAVULANATE TABLETS BP 375 MG,MOXIKIND CV 375,TABLETS,2X7' 3X2X7' 10X10',BLISTER,INDIA,2022-01-29,IIB,Full,Antibiotic,A,Spreading Disease (Infectious/Outbreak),Low,True,24,oral_solid,45
M009648,AMOXICILLIN & POTASSIUM CLAVULANATE TABLETS BP 625MG,MOXIKIND CV 625,TABLETS,"2X7'S ,10X10'S",BLISTER,INDIA,2022-01-29,IIB,Full,Antibiotic,A,Spreading Disease (Infectious/Outbreak),Low,True,24,oral_solid,45
M010200,AZITHROMYCIN  TABLETS USP 500MG,AZ 500,TABLETS,10X3'S,ALU ALU BLISTER,BANGLADESH,2022-06-23,IIB,Full,Antibiotic,A,Spreading Disease (Infectious/Outbreak),Low,True,36,oral_solid,50
M010788,AZITHROMYCIN TABLETS 500MG,AZIFAST 500,TABLETS,3'S 10X3'S,ALU PVC BLISTER,INDIA,2022-06-08,IIB,Full,Antibiotic,A,Spreading Disease (Infectious/Outbreak),Low,True,36,oral_solid,45
M010038,CLARITHROMYCIN TABLET USP 250MG,CLARITEK,TABLETS,1X10'S,ALU ALU BLISTER,PAKISTAN,2022-06-12,IIB,Full,Antibiotic,A,Spreading Disease (Infectious/Outbreak),Low,True,24,oral_solid,55
M011086,CLARITHROMYCIN TABLETS USP 500MG,CLARITEK,FILM COA TABLETS,10'S,ALU ALU BLISTER,PAKISTAN,2022-10-11,IIB,Full,Antibiotic,A,Spreading Disease (Infectious/Outbreak),Low,True,24,oral_solid,55
M011232,LEVOFLOXACIN TABLETS USP 500MG,LEFLOX,TABLETS,10'S,ALU ALU BLISTER,PAKISTAN,2022-12-24,IIB,Full,Antibiotic,A,Spreading Disease (Infectious/Outbreak),Low,True,36,oral_solid,55
M009970,CEFALEXIN CAPSULES BP 500MG,SPORIDEX 500,HARD GELATINE CAPSULES,1X10'S 24X10'S,ALU PVC PVDC BLISTER,INDIA,2022-01-28,IIB,Full,Antibiotic,A,Spreading Disease (Infectious/Outbreak),Low,True,24,capsule,45
M009594,CEFUROXIME AXETIL TABLETS BP 500MG,CEFAKIND 500,TABLETS,"1X10'S,3X1X10'S",ALU ALU BLISTER,INDIA,2021-05-23,IIB,Full,Antibiotic,A,Spreading Disease (Infectious/Outbreak),Low,True,24,oral_solid,45
M013086,PARACETAMOL TABLETS BP 500MG,PARAGON,TABLETS,10X10'S,ALU PVC BLISTER,INDIA,2022-10-12,I,Full,Antipyretic,A,Spreading Disease (Infectious/Outbreak),Low,False,60,oral_solid,45
M010676,LORATADINE TABLETS USP 10MG,ALLERGET,TABLETS,1X10'S,ALU ALU BLISTER,PAKISTAN,2022-05-17,IIB,Full,Antihistamine,A,Spreading Disease (Infectious/Outbreak),Low,False,36,oral_solid,55
M010868,LEVOCETIRIZINE DIHYDROCHLORIDE TABLETS 5MG,LEVOCIT 5MG,TABLETS,10X10'S,ALU PVC BLISTER,PAKISTAN,2022-03-11,IIB,Full,Antihistamine,A,Spreading Disease (Infectious/Outbreak),Low,False,36,oral_solid,55
