date,year,week_of_year,is_public_holiday,is_vesak_week,is_new_year_period,is_month_end,is_school_term
2024-01-01,2024,1,1,0,0,0,1
2024-01-08,2024,2,0,0,0,0,1
2024-01-15,2024,3,0,0,0,0,1
2024-01-22,2024,4,0,0,0,0,1
2024-01-29,2024,5,0,0,0,1,1
2024-02-05,2024,6,0,0,0,0,1
2024-02-12,2024,7,0,0,0,0,1
2024-02-19,2024,8,0,0,0,0,1
2024-02-26,2024,9,0,0,0,1,1
2024-03-04,2024,10,0,0,0,0,1
2024-03-11,2024,11,0,0,0,0,1
2024-03-18,2024,12,0,0,0,0,1
2024-03-25,2024,13,0,0,0,1,1
2024-04-01,2024,14,0,0,0,0,1
2024-04-08,2024,15,1,0,1,0,0
2024-04-15,2024,16,1,0,1,0,0
2024-04-22,2024,17,0,0,0,0,1
2024-04-29,2024,18,0,0,0,1,1
2024-05-06,2024,19,0,0,0,0,1
2024-05-13,2024,20,1,1,0,0,1
2024-05-20,2024,21,1,1,0,0,1
2024-05-27,2024,22,0,0,0,1,1
2024-06-03,2024,23,0,0,0,0,1
2024-06-10,2024,24,1,0,0,0,1
2024-06-17,2024,25,1,0,0,0,1
2024-06-24,2024,26,0,0,0,0,1
2024-07-01,2024,27,0,0,0,0,1
2024-07-08,2024,28,0,0,0,0,1
2024-07-15,2024,29,0,0,0,0,1
2024-07-22,2024,30,1,0,0,0,1
2024-07-29,2024,31,1,0,0,1,1
2024-08-05,2024,32,0,0,0,0,0
2024-08-12,2024,33,0,0,0,0,0
2024-08-19,2024,34,0,0,0,0,1
2024-08-26,2024,35,0,0,0,1,1
2024-09-02,2024,36,0,0,0,0,1
2024-09-09,2024,37,0,0,0,0,1
2024-09-16,2024,38,0,0,0,0,1
2024-09-23,2024,39,0,0,0,0,1
2024-09-30,2024,40,0,0,0,1,1
2024-10-07,2024,41,0,0,0,0,1
2024-10-14,2024,42,0,0,0,0,1
2024-10-21,2024,43,0,0,0,0,1
2024-10-28,2024,44,0,0,0,1,1
2024-11-04,2024,45,0,0,0,0,1
2024-11-11,2024,46,0,0,0,0,1
2024-11-18,2024,47,0,0,0,0,1
2024-11-25,2024,48,0,0,0,1,1
2024-12-02,2024,49,0,0,0,0,1
2024-12-09,2024,50,0,0,0,0,1
2024-12-16,2024,51,0,0,0,0,0
2024-12-23,2024,52,1,0,0,0,0
2024-12-30,2024,1,1,0,0,1,1
2025-01-06,2025,2,0,0,0,0,1
2025-01-13,2025,3,0,0,0,0,1
2025-01-20,2025,4,0,0,0,0,1
2025-01-27,2025,5,0,0,0,1,1
2025-02-03,2025,6,0,0,0,0,1
2025-02-10,2025,7,0,0,0,0,1
2025-02-17,2025,8,0,0,0,0,1
2025-02-24,2025,9,0,0,0,0,1
2025-03-03,2025,10,0,0,0,0,1
2025-03-10,2025,11,0,0,0,0,1
2025-03-17,2025,12,0,0,0,0,1
2025-03-24,2025,13,0,0,0,0,1
2025-03-31,2025,14,0,0,0,1,1
2025-04-07,2025,15,1,0,1,0,0
2025-04-14,2025,16,1,0,1,0,0
2025-04-21,2025,17,0,0,0,0,1
2025-04-28,2025,18,0,0,0,1,1
2025-05-05,2025,19,0,0,0,0,1
2025-05-12,2025,20,1,1,0,0,1
2025-05-19,2025,21,1,1,0,0,1
2025-05-26,2025,22,0,0,0,1,1
2025-06-02,2025,23,0,0,0,0,1
2025-06-09,2025,24,1,0,0,0,1
2025-06-16,2025,25,1,0,0,0,1
2025-06-23,2025,26,0,0,0,0,1
2025-06-30,2025,27,0,0,0,1,1
2025-07-07,2025,28,0,0,0,0,1
2025-07-14,2025,29,0,0,0,0,1
2025-07-21,2025,30,1,0,0,0,1
2025-07-28,2025,31,1,0,0,1,1
2025-08-04,2025,32,0,0,0,0,0
2025-08-11,2025,33,0,0,0,0,0
2025-08-18,2025,34,0,0,0,0,1
2025-08-25,2025,35,0,0,0,1,1
2025-09-01,2025,36,0,0,0,0,1
2025-09-08,2025,37,0,0,0,0,1
2025-09-15,2025,38,0,0,0,0,1
2025-09-22,2025,39,0,0,0,0,1
2025-09-29,2025,40,0,0,0,1,1
2025-10-06,2025,41,0,0,0,0,1
2025-10-13,2025,42,0,0,0,0,1
2025-10-20,2025,43,0,0,0,0,1
2025-10-27,2025,44,0,0,0,1,1
2025-11-03,2025,45,0,0,0,0,1
2025-11-10,2025,46,0,0,0,0,1
2025-11-17,2025,47,0,0,0,0,1
2025-11-24,2025,48,0,0,0,0,1
2025-12-01,2025,49,0,0,0,0,1
2025-12-08,2025,50,0,0,0,0,1
2025-12-15,2025,51,0,0,0,0,0
2025-12-22,2025,52,1,0,0,0,0
