date,district,week_of_year,dengue_index,respiratory_index,rainfall_index
2024-01-01,Ampara,1,24.3,43.0,73.0
2024-01-08,Ampara,2,24.2,44.2,59.6
2024-01-15,Ampara,3,34.9,34.0,77.5
2024-01-22,Ampara,4,28.5,42.7,79.4
2024-01-29,Ampara,5,27.7,37.3,50.5
2024-02-05,Ampara,6,32.3,39.4,57.0
2024-02-12,Ampara,7,24.5,38.1,71.3
2024-02-19,Ampara,8,34.7,35.4,66.8
2024-02-26,Ampara,9,23.2,41.8,21.8
2024-03-04,Ampara,10,29.4,46.4,13.5
2024-03-11,Ampara,11,19.6,36.0,30.8
2024-03-18,Ampara,12,20.8,25.6,29.8
2024-03-25,Ampara,13,13.4,25.0,22.7
2024-04-01,Ampara,14,14.6,18.1,33.3
2024-04-08,Ampara,15,18.6,21.9,26.7
2024-04-15,Ampara,16,9.2,16.9,13.4
2024-04-22,Ampara,17,17.9,21.5,25.7
2024-04-29,Ampara,18,24.0,31.7,8.4
2024-05-06,Ampara,19,18.2,6.8,26.8
2024-05-13,Ampara,20,0.0,12.1,17.5
2024-05-20,Ampara,21,11.2,6.8,16.2
2024-05-27,Ampara,22,9.6,7.0,11.2
2024-06-03,Ampara,23,26.4,4.1,30.2
2024-06-10,Ampara,24,24.3,0.0,16.5
2024-06-17,Ampara,25,26.9,1.2,13.7
2024-06-24,Ampara,26,37.3,11.8,14.5
2024-07-01,Ampara,27,40.9,6.4,23.3
2024-07-08,Ampara,28,39.1,0.0,21.7
2024-07-15,Ampara,29,39.0,0.0,22.1
2024-07-22,Ampara,30,55.3,0.0,22.3
2024-07-29,Ampara,31,44.4,0.0,39.4
2024-08-05,Ampara,32,40.2,9.3,13.9
2024-08-12,Ampara,33,32.8,9.1,12.9
2024-08-19,Ampara,34,15.4,14.2,9.9
2024-08-26,Ampara,35,9.1,6.0,24.2
2024-09-02,Ampara,36,0.0,14.8,29.3
2024-09-09,Ampara,37,10.8,19.4,16.9
2024-09-16,Ampara,38,0.0,24.0,9.6
2024-09-23,Ampara,39,0.0,26.6,9.8
2024-09-30,Ampara,40,0.0,27.1,56.5
2024-10-07,Ampara,41,0.0,32.1,57.4
2024-10-14,Ampara,42,0.0,21.6,55.4
2024-10-21,Ampara,43,0.0,40.6,43.3
2024-10-28,Ampara,44,10.3,32.9,52.3
2024-11-04,Ampara,45,0.0,43.8,51.2
2024-11-11,Ampara,46,3.1,34.3,52.2
2024-11-18,Ampara,47,20.0,37.9,58.7
2024-11-25,Ampara,48,23.6,41.9,52.2
2024-12-02,Ampara,49,27.6,47.7,76.8
2024-12-09,Ampara,50,24.2,46.0,70.7
2024-12-16,Ampara,51,18.7,43.1,72.9
2024-12-23,Ampara,52,24.2,37.3,76.3
2024-12-30,Ampara,1,24.6,45.0,55.4
2025-01-06,Ampara,2,36.4,38.2,66.8
2025-01-13,Ampara,3,24.8,42.1,65.3
2025-01-20,Ampara,4,26.1,48.8,63.6
2025-01-27,Ampara,5,30.8,48.7,67.2
2025-02-03,Ampara,6,26.2,34.4,84.9
2025-02-10,Ampara,7,26.8,40.7,61.3
2025-02-17,Ampara,8,34.5,29.2,79.7
2025-02-24,Ampara,9,26.9,44.6,5.2
2025-03-03,Ampara,10,47.0,48.2,18.7
2025-03-10,Ampara,11,4.4,33.9,23.6
2025-03-17,Ampara,12,4.8,28.8,27.9
2025-03-24,Ampara,13,17.0,34.7,29.1
2025-03-31,Ampara,14,12.0,22.2,29.9
2025-04-07,Ampara,15,3.8,23.4,18.5
2025-04-14,Ampara,16,10.6,18.8,17.4
2025-04-21,Ampara,17,8.3,16.1,30.6
2025-04-28,Ampara,18,2.7,8.6,16.1
2025-05-05,Ampara,19,30.0,8.6,5.2
2025-05-12,Ampara,20,6.2,21.6,6.7
2025-05-19,Ampara,21,27.0,4.1,8.8
2025-05-26,Ampara,22,7.8,7.7,23.0
2025-06-02,Ampara,23,28.2,0.0,19.4
2025-06-09,Ampara,24,27.4,6.8,24.9
2025-06-16,Ampara,25,36.3,1.8,13.7
2025-06-23,Ampara,26,39.4,0.0,19.6
2025-06-30,Ampara,27,38.7,0.0,24.3
2025-07-07,Ampara,28,45.1,0.2,14.9
2025-07-14,Ampara,29,47.9,7.4,22.6
2025-07-21,Ampara,30,41.5,6.7,11.4
2025-07-28,Ampara,31,39.8,5.7,14.4
2025-08-04,Ampara,32,27.0,8.9,14.2
2025-08-11,Ampara,33,25.7,20.9,6.0
2025-08-18,Ampara,34,28.9,11.9,22.9
2025-08-25,Ampara,35,5.2,8.2,13.3
2025-09-01,Ampara,36,14.8,17.0,18.1
2025-09-08,Ampara,37,0.9,9.0,22.8
2025-09-15,Ampara,38,0.0,22.9,22.5
2025-09-22,Ampara,39,0.0,20.9,24.7
2025-09-29,Ampara,40,0.0,22.9,49.0
2025-10-06,Ampara,41,0.0,25.6,45.8
2025-10-13,Ampara,42,0.0,29.4,49.2
2025-10-20,Ampara,43,2.5,21.1,33.1
2025-10-27,Ampara,44,0.0,37.2,35.5
2025-11-03,Ampara,45,0.0,36.8,36.8
2025-11-10,Ampara,46,0.0,42.2,40.0
2025-11-17,Ampara,47,22.2,32.9,54.0
2025-11-24,Ampara,48,25.2,42.8,40.9
2025-12-01,Ampara,49,23.8,36.9,66.2
2025-12-08,Ampara,50,18.3,47.4,83.0
2025-12-15,Ampara,51,31.4,53.0,66.4
2025-12-22,Ampara,52,40.0,45.4,77.4
2024-01-01,Anuradhapura,1,40.8,48.5,87.4
2024-01-08,Anuradhapura,2,33.8,50.4,74.4
2024-01-15,Anuradhapura,3,34.8,38.3,78.3
2024-01-22,Anuradhapura,4,26.8,35.9,67.0
2024-01-29,Anuradhapura,5,26.2,39.7,70.7
2024-02-05,Anuradhapura,6,32.9,49.7,63.0
2024-02-12,Anuradhapura,7,20.9,38.7,79.9
2024-02-19,Anuradhapura,8,20.7,40.2,58.2
