retailer_id,retailer_type,district,tier,years_active
R0001,standalone,Trincomalee,B,7.3
R0002,standalone,Ratnapura,C,3.5
R0003,chain_outlet,Nuwara Eliya,B,5.1
R0004,standalone,Colombo,B,9.6
R0005,hospital_attached,Colombo,C,20.0
R0006,chain_outlet,Gampaha,C,2.7
R0007,standalone,Colombo,B,17.2
R0008,standalone,Mullaitivu,C,0.6
R0009,hospital_attached,Colombo,A,4.5
R0010,standalone,Nuwara Eliya,C,3.5
R0011,standalone,Mullaitivu,C,4.3
R0012,chain_outlet,Hambantota,B,9.2
R0013,standalone,Colombo,A,2.5
R0014,chain_outlet,Kurunegala,C,20.0
R0015,standalone,Vavuniya,A,4.0
R0016,standalone,Batticaloa,B,7.3
R0017,standalone,Colombo,B,4.4
R0018,hospital_attached,Colombo,B,3.7
R0019,chain_outlet,Monaragala,A,2.9
R0020,standalone,Kalutara,C,0.5
R0021,standalone,Gampaha,C,19.6
R0022,standalone,Matale,A,5.2
R0023,chain_outlet,Mannar,A,13.8
R0024,chain_outlet,Ratnapura,A,20.0
R0025,standalone,Gampaha,C,7.7
R0026,hospital_attached,Badulla,B,2.4
R0027,standalone,Colombo,B,3.2
R0028,hospital_attached,Matara,B,0.5
R0029,hospital_attached,Kilinochchi,A,11.9
R0030,standalone,Colombo,C,5.9
R0031,standalone,Colombo,C,13.7
R0032,chain_outlet,Kandy,B,12.1
R0033,standalone,Ratnapura,C,0.5
R0034,standalone,Hambantota,C,8.8
R0035,standalone,Monaragala,A,0.7
R0036,hospital_attached,Kurunegala,A,0.5
R0037,hospital_attached,Kandy,A,5.7
R0038,standalone,Trincomalee,B,3.0
R0039,standalone,Colombo,C,7.9
R0040,standalone,Colombo,C,16.4
R0041,standalone,Puttalam,C,2.8
R0042,chain_outlet,Trincomalee,A,4.6
R0043,standalone,Gampaha,C,0.5
R0044,standalone,Galle,B,1.2
R0045,chain_outlet,Jaffna,A,5.6
R0046,chain_outlet,Anuradhapura,B,0.5
R0047,standalone,Jaffna,C,5.2
R0048,standalone,Kandy,C,5.0
R0049,standalone,Kalutara,A,0.5
R0050,hospital_attached,Kandy,B,13.0
R0051,hospital_attached,Mannar,A,7.3
R0052,hospital_attached,Anuradhapura,C,12.0
R0053,standalone,Kandy,C,0.8
R0054,standalone,Gampaha,B,7.0
R0055,standalone,Gampaha,A,2.1
R0056,standalone,Batticaloa,B,15.2
R0057,standalone,Kurunegala,C,3.3
R0058,standalone,Colombo,B,4.8
R0059,hospital_attached,Colombo,B,1.6
R0060,hospital_attached,Hambantota,B,3.2
R0061,standalone,Colombo,B,7.0
R0062,standalone,Kurunegala,B,5.3
R0063,standalone,Gampaha,C,0.5
R0064,standalone,Colombo,B,0.5
R0065,standalone,Badulla,B,3.1
R0066,standalone,Colombo,C,7.5
R0067,standalone,Gampaha,C,4.7
R0068,standalone,Colombo,C,1.0
R0069,hospital_attached,Colombo,A,8.1
R0070,standalone,Colombo,B,16.9
R0071,standalone,Colombo,B,2.1
R0072,standalone,Colombo,B,3.3
R0073,chain_outlet,Colombo,A,2.9
R0074,standalone,Hambantota,B,1.7
R0075,hospital_attached,Mullaitivu,A,2.1
R0076,standalone,Kalutara,B,1.8
