sku_id,therapeutic_category,brand_type,price_band,shelf_life_months,supplier_lead_time_days,is_critical
SKU0001,cardiovascular,branded,low,20,74,True
SKU0002,antihistamines,generic,low,36,151,False
SKU0003,vitamins_supplements,branded,medium,21,15,False
SKU0004,gastrointestinal,branded,medium,28,163,False
SKU0005,gastrointestinal,generic,medium,44,104,False
SKU0006,antihypertensives,generic,medium,19,37,False
SKU0007,cardiovascular,otc,medium,45,64,True
SKU0008,antipyretics,branded,high,17,106,True
SKU0009,analgesics,branded,low,20,66,False
SKU0010,cardiovascular,generic,low,40,32,True
SKU0011,dermatological,branded,low,50,125,False
SKU0012,otc_general,branded,medium,20,126,False
SKU0013,antipyretics,generic,medium,26,33,True
SKU0014,antihistamines,branded,low,57,60,False
SKU0015,antipyretics,generic,medium,60,54,True
SKU0016,antihistamines,generic,low,40,124,False
SKU0017,dermatological,otc,medium,33,135,False
SKU0018,cardiovascular,generic,medium,28,135,True
SKU0019,antihypertensives,branded,medium,42,170,False
SKU0020,gastrointestinal,otc,low,40,142,False
SKU0021,dermatological,otc,medium,26,67,False
SKU0022,respiratory,branded,medium,13,31,False
SKU0023,analgesics,branded,low,19,116,False
SKU0024,otc_general,generic,low,58,166,False
SKU0025,antihistamines,branded,high,32,176,False
SKU0026,vitamins_supplements,branded,high,35,52,False
SKU0027,respiratory,branded,medium,34,53,False
SKU0028,antihistamines,generic,low,50,20,False
SKU0029,dermatological,generic,high,15,37,False
SKU0030,gastrointestinal,generic,medium,16,106,False
SKU0031,gastrointestinal,generic,medium,25,105,False
SKU0032,analgesics,generic,medium,35,75,False
SKU0033,cardiovascular,generic,low,44,65,True
SKU0034,dermatological,branded,low,36,152,False
SKU0035,antihypertensives,branded,high,33,90,False
SKU0036,antibiotics,generic,medium,57,148,True
SKU0037,antihypertensives,generic,low,19,174,False
SKU0038,antihistamines,generic,low,40,66,False
SKU0039,antidiabetics,generic,medium,38,47,True
SKU0040,vitamins_supplements,generic,low,35,173,False
SKU0041,cardiovascular,generic,high,51,120,True
SKU0042,antihistamines,generic,medium,25,62,False
SKU0043,antipyretics,branded,medium,58,117,True
SKU0044,respiratory,branded,medium,28,100,False
SKU0045,antibiotics,generic,medium,38,165,True
SKU0046,otc_general,branded,medium,37,56,False
SKU0047,gastrointestinal,generic,medium,53,179,False
SKU0048,antihypertensives,otc,low,33,170,False
SKU0049,antipyretics,branded,medium,25,44,True
SKU0050,antihistamines,branded,low,13,41,False
