retailer_id,sku_id,date,week_of_year,quantity_ordered,quantity_fulfilled,lead_time_days
6977,M009594,2024-01-22,4,10,10,3
6977,M009594,2024-02-12,7,8,8,2
6977,M009594,2024-02-26,9,10,10,4
6977,M009594,2024-03-04,10,9,9,1
6977,M009594,2024-03-18,12,9,9,4
6977,M009594,2024-04-22,17,9,9,5
6977,M009594,2024-05-27,22,6,6,5
6977,M009594,2024-06-10,24,6,6,3
6977,M009594,2024-07-08,28,6,3,6
6977,M009594,2024-07-22,30,7,7,4
6977,M009594,2024-07-29,31,6,6,1
6977,M009594,2024-08-05,32,6,6,7
6977,M009594,2024-09-09,37,4,4,1
6977,M009594,2024-09-16,38,5,5,7
6977,M009594,2024-10-28,44,6,6,3
6977,M009594,2024-11-04,45,6,6,5
6977,M009594,2024-11-18,47,7,7,3
6977,M009594,2024-12-02,49,13,13,2
6977,M009594,2024-12-16,51,6,6,1
6977,M009594,2025-01-06,2,5,5,2
6977,M009594,2025-02-03,6,6,4,3
6977,M009594,2025-02-24,9,10,10,2
6977,M009594,2025-03-10,11,6,6,3
6977,M009594,2025-04-14,16,10,10,5
6977,M009594,2025-04-21,17,4,4,4
6977,M009594,2025-04-28,18,7,7,2
6977,M009594,2025-05-05,19,7,7,1
6977,M009594,2025-05-12,20,8,8,1
6977,M009594,2025-06-09,24,7,7,2
6977,M009594,2025-06-16,25,6,6,3
6977,M009594,2025-07-07,28,5,5,4
6977,M009594,2025-07-14,29,7,7,1
6977,M009594,2025-08-18,34,6,6,2
6977,M009594,2025-09-22,39,4,4,9
6977,M009594,2025-09-29,40,3,3,1
6977,M009594,2025-10-06,41,5,5,2
6977,M009594,2025-10-13,42,6,6,1
6977,M009594,2025-10-20,43,4,4,1
6977,M009594,2025-11-10,46,6,6,2
6977,M009594,2025-11-17,47,8,8,3
6977,M009594,2025-11-24,48,7,6,1
6977,M014013,2024-01-22,4,3,3,1
6977,M014013,2024-01-29,5,5,5,4
6977,M014013,2024-02-05,6,2,2,4
6977,M014013,2024-02-19,8,4,4,7
6977,M014013,2024-03-18,12,2,2,10
6977,M014013,2024-03-25,13,4,4,1
6977,M014013,2024-04-08,15,5,5,3
6977,M014013,2024-04-22,17,2,2,3
6977,M014013,2024-05-13,20,3,3,3
6977,M014013,2024-06-03,23,4,4,1
6977,M014013,2024-06-24,26,3,3,2
6977,M014013,2024-07-01,27,3,3,8
6977,M014013,2024-07-08,28,2,2,7
6977,M014013,2024-07-15,29,4,4,1
6977,M014013,2024-07-22,30,3,3,4
6977,M014013,2024-08-05,32,1,1,9
6977,M014013,2024-08-12,33,3,3,1
6977,M014013,2024-09-02,36,3,3,4
6977,M014013,2024-09-16,38,3,3,2
6977,M014013,2024-09-30,40,3,2,1
6977,M014013,2024-10-21,43,1,1,6
6977,M014013,2024-11-18,47,3,3,4
6977,M014013,2024-11-25,48,1,1,1
6977,M014013,2024-12-16,51,3,3,2
6977,M014013,2024-12-23,52,2,2,6
6977,M014013,2025-01-20,4,3,3,1
6977,M014013,2025-02-10,7,3,3,1
6977,M014013,2025-02-17,8,4,4,4
6977,M014013,2025-03-03,10,1,1,3
6977,M014013,2025-03-10,11,5,5,2
6977,M014013,2025-04-14,16,3,3,4
6977,M014013,2025-05-19,21,2,2,4
6977,M014013,2025-05-26,22,4,4,1
6977,M014013,2025-06-02,23,3,3,2
6977,M014013,2025-06-16,25,2,2,3
6977,M014013,2025-07-14,29,1,1,6
6977,M014013,2025-07-21,30,3,3,2
6977,M014013,2025-09-01,36,2,2,3
6977,M014013,2025-09-08,37,2,2,5
6977,M014013,2025-09-15,38,2,2,6
6977,M014013,2025-11-03,45,3,3,3
6977,M014013,2025-11-10,46,4,4,11
6977,M014013,2025-12-01,49,2,2,1
6977,M014013,2025-12-08,50,3,3,3
6977,M014013,2025-12-15,51,2,2,5
6977,M011232,2024-02-05,6,12,12,6
6977,M011232,2024-02-26,9,11,9,4
6977,M011232,2024-04-08,15,11,11,1
6977,M011232,2024-04-22,17,8,8,5
6977,M011232,2024-05-20,21,8,8,1
6977,M011232,2024-06-10,24,6,6,1
6977,M011232,2024-07-08,28,5,5,5
6977,M011232,2024-07-15,29,8,8,5
6977,M011232,2024-07-29,31,7,7,11
6977,M011232,2024-08-26,35,6,6,1
6977,M011232,2024-10-21,43,5,5,9
6977,M011232,2024-11-25,48,7,7,4
6977,M011232,2024-12-02,49,9,9,1
6977,M011232,2025-01-20,4,12,12,11
6977,M011232,2025-02-10,7,6,4,1
6977,M011232,2025-03-03,10,9,9,1
6977,M011232,2025-03-17,12,9,9,1
6977,M011232,2025-03-24,13,8,8,3
6977,M011232,2025-04-28,18,6,6,2
6977,M011232,2025-05-05,19,9,6,3
6977,M011232,2025-05-12,20,8,8,1
6977,M011232,2025-05-19,21,7,7,1
6977,M011232,2025-06-16,25,10,10,13
6977,M011232,2025-06-30,27,6,6,2
6977,M011232,2025-08-04,32,8,4,1
6977,M011232,2025-08-11,33,5,5,8
6977,M011232,2025-09-08,37,5,5,1
6977,M011232,2025-09-22,39,7,7,2
6977,M011232,2025-10-27,44,4,4,1
6977,M011232,2025-11-10,46,9,9,1
6977,M009364,2024-01-01,1,3,3,1
6977,M009364,2024-01-29,5,2,2,23
6977,M009364,2024-02-12,7,1,1,1
6977,M009364,2024-03-25,13,2,2,2
6977,M009364,2024-04-01,14,4,4,1
6977,M009364,2024-04-29,18,6,6,2
6977,M009364,2024-05-20,21,4,4,2
6977,M009364,2024-06-03,23,3,3,13
6977,M009364,2024-06-17,25,2,2,6
6977,M009364,2024-06-24,26,2,2,18
6977,M009364,2024-07-08,28,3,3,7
6977,M009364,2024-08-12,33,4,4,1
6977,M009364,2024-09-09,37,2,2,2
6977,M009364,2024-09-23,39,2,2,9
6977,M009364,2024-09-30,40,4,4,1
6977,M009364,2024-10-07,41,1,1,1
6977,M009364,2024-10-14,42,4,4,3
6977,M009364,2024-10-28,44,2,2,8
6977,M009364,2024-12-16,51,3,3,6
6977,M009364,2024-12-23,52,2,2,1
6977,M009364,2024-12-30,1,4,4,3
6977,M009364,2025-01-20,4,2,2,4
6977,M009364,2025-01-27,5,2,1,11
6977,M009364,2025-02-24,9,2,2,1
6977,M009364,2025-03-10,11,4,4,1
6977,M009364,2025-04-07,15,5,5,3
6977,M009364,2025-04-14,16,5,5,10
6977,M009364,2025-05-19,21,6,6,3
6977,M009364,2025-07-07,28,3,3,3
6977,M009364,2025-08-04,32,4,4,7
6977,M009364,2025-08-11,33,2,2,2
6977,M009364,2025-08-18,34,3,3,2
6977,M009364,2025-09-15,38,4,4,4
6977,M009364,2025-09-29,40,2,2,6
6977,M009364,2025-10-20,43,4,4,4
6977,M009364,2025-10-27,44,3,3,3
6977,M009364,2025-12-08,50,3,3,5
6977,M009364,2025-12-22,52,4,4,1
6977,M009542,2024-01-08,2,2,2,2
6977,M009542,2024-01-15,3,5,5,1
6977,M009542,2024-01-22,4,4,4,2
6977,M009542,2024-01-29,5,4,4,2
6977,M009542,2024-03-18,12,5,5,3
6977,M009542,2024-03-25,13,5,5,2
6977,M009542,2024-04-15,16,5,5,7
6977,M009542,2024-04-22,17,5,5,2
6977,M009542,2024-04-29,18,4,4,6
6977,M009542,2024-05-06,19,5,5,2
6977,M009542,2024-06-10,24,5,5,2
6977,M009542,2024-07-08,28,2,2,1
6977,M009542,2024-07-15,29,4,4,4
6977,M009542,2024-07-29,31,4,4,4
6977,M009542,2024-08-19,34,2,2,6
6977,M009542,2024-09-23,39,1,1,1
6977,M009542,2024-09-30,40,1,1,3
6977,M009542,2024-10-07,41,1,1,11
6977,M009542,2024-10-14,42,1,1,4
6977,M009542,2024-10-21,43,4,4,11
6977,M009542,2024-10-28,44,6,6,6
6977,M009542,2024-11-04,45,1,1,1
6977,M009542,2024-11-11,46,2,2,1
6977,M009542,2024-11-18,47,4,4,13
6977,M009542,2024-12-02,49,1,1,1
6977,M009542,2025-01-13,3,4,4,4
6977,M009542,2025-01-27,5,2,2,5
6977,M009542,2025-02-03,6,3,3,2
6977,M009542,2025-02-10,7,6,6,3
6977,M009542,2025-02-17,8,5,5,4
6977,M009542,2025-02-24,9,4,4,4
6977,M009542,2025-03-17,12,4,4,2
6977,M009542,2025-03-31,14,4,4,2
6977,M009542,2025-05-05,19,4,4,3
6977,M009542,2025-05-12,20,6,5,7
6977,M009542,2025-06-02,23,2,2,4
6977,M009542,2025-06-16,25,3,3,2
6977,M009542,2025-07-14,29,3,3,3
6977,M009542,2025-08-25,35,1,1,3
6977,M009542,2025-09-08,37,5,4,4
6977,M009542,2025-09-22,39,2,2,1
6977,M009542,2025-10-13,42,3,3,1
